Bloc Name,Leader Name,Title,Animal Head,Region,Leader Satire,Country/Bloc Satire,Example Policy,Default Emotion,Visual Design Keywords,Signature Prop,Exaggerated Feature,Animation Tell,Key Color Scheme
AmeriCorp,Elon Gates,CEO,Eagle,United States,"Elon Musk + Bill Gates mashup; 'Elongate' scandal wordplay; Trump-like bombastic voice; CEO title mocks biz/politics separation","America as mega-corporation; Tech monopoly culture; Silicon Valley excess","Imposes a 200% unilateral tariff on all Industrial Goods imports, branding it the 'Future-Proof America Initiative' via the chaos feed. He claims it will force domestic innovation, but it triggers massive supply chain disruptions for his own economy.","Manic overconfidence with twitchy energy","Sharp geometric eagle head; Black turtleneck-suit hybrid; American flag pin that's a tiny OLED screen; Rocket-powered Italian loafers leaving contrails",Golden iPhone that transforms into judge's gavel (tech supremacy meets legal power),Pupils dilate into dollar signs;  Veins on neck glow blue when tweeting,Wings form stock chart patterns;  Random finger guns while talking,"Black, Gold, Electric Blue" 
MoonFactory,MarGin Lei,Chairman,Dragon,China,"'MarGin' = trading margins; Lei = Lei Jun (Xiaomi) reference; Manufacturing mania","Factory = manufacturing dominance; Moon = crypto hype + space ambitions; Mass production obsession","Sets production focus to maximize Secondary Sector output of Consumer Goods at all costs , creating an enormous Exportable Surplus. He then floods the global market with cheap electronics, accepting a negative Trade Balance to bankrupt competitors and achieve market dominance.","Calculated satisfaction with subtle menace","Eastern dragon with industrial smoke whiskers; Red Zhongshan suit with live LED production counter; Gold button are tiny gears; Belt made of circuit boards",Ancient jade seal that stamps QR codes (imperial authority meets digital age),Smoke from nostrils forms real-time profit margins;  Eyes calculate everything they see,Body segments pump like pistons when excited;  Hoards items compulsively,"Red, Gold, Industrial Grey" 
PumpFederation,Pavel Gazpumpsky,President,Bear,Russia,"Pavel Durov (Telegram) + Gazprom; 'pump' (manipulation); -sky Russian suffix","Resource pumping state; Energy leverage; Federation structure","Weaponizes his vast Energy reserves. Following a tariff dispute, he enacts a Tit-for-Tat policy by halting all Energy exports to a rival , while simultaneously offering a 'Special Friendship Price' to a neutral neighbor to improve his Political Relations score with them.","Knowing smirk with intimidating presence","Massive bear in sable coat worth a yacht; Gold chains spelling 'PUMP'; Orthodox pipeline cross; Kremlin pin that's actually Telegram logo",Ornate scepter that's secretly a gas pump handle (disguised resource control),Gold canine tooth is miniature oil derrick that actually pumps;  Fur shows hidden Cyrillic market manipulation messages,Slav squats when scheming;  Chest fur forms candlestick charts,"Navy, White, Red, Gold" 
MapleDominion,Justin Splurgeau,Prime Minister,Moose,Canada,"Justin Trudeau + 'splurge'; -eau French-Canadian suffix","Maple = national symbol; Dominion = historical name; Resource wealth + spending","To boost an ally relationship score, he agrees to export vast quantities of Raw Materials at below-market rates, creating a domestic shortage. He announces this as a win, promising the revenue will fund a new social program that his own budget data shows is fiscally impossible.","Perpetual apologetic optimism with deer-in-headlights undertone","Perfectly groomed moose; Designer red suit with Hudson Bay hidden pattern; Maple leaf cufflinks that spin when lying; Hair somehow perfect even as moose",Money printer shaped like parliamentary mace with maple leaf details,Antlers literally droop under weight of promises;  Single tear of maple syrup when discussing budgets,Hands gesture dramatically when explaining why budget will balance itself,"Red, White, Maple Brown" 
ExitLand,Boliz U-turney,Prime Minister,Bulldog (Female),United Kingdom,"Boris Johnson + Liz Truss; 'U-turn' master; Policy chaos duo","Exit = Brexit chaos; Land = simple British naming; Post-Brexit struggles","Announces 'Project Sovereignty,' imposing a crippling tariff on all Consumer Goods imports from the BailoutUnion. The next turn, her National Stability plummets, and she performs a complete reversal, offering the same goods tariff-free status from AmeriCorp, calling it the 'Atlantic Friendship Deal.'","Determined confusion with posh accent overtones","Female bulldog in Savile Row suit; Union Jack inner lining flashes during U-turns; Parliament pin collection; Messy blonde wig poorly hidden under hat",Big Ben clock that runs backwards (time moving backwards politically),Eyes spin in opposite directions when speaking;  Jowls flap contradictorily,Literally spins 180° mid-sentence; Leaves skid marks on floor,"Royal Blue, Red, White" 
BailoutUnion,Christine Laglord,Commissioner,Bull (Female),European Union,"Lagarde + 'lag' (slowness); Commissioner = EU title; Red tape navigator","Bailout culture; Union = EU structure; Financial rescue obsession","Responds to an economic crisis not with decisive action, but by proposing a complex, multi-turn 'Pan-Continental Stability & Resource Rationalization Pact'. This pact aims to stabilize resource inventories across multiple leaders but is so bureaucratic it has no immediate effect on the crisis, even as her National Stability Index falls.","Bureaucratic serenity masking panic","Elegant female bull; Hermès scarf AS red tape; EU star brooch that's actually panic button; French manicure on hooves",Rubber stamp that only says 'APPROVED' but ink is euros,"27 small horns (one per member);  New ones grow during expansion talks",Types on invisible keyboard constantly;  Moves in slow motion except when banks fail,"EU Blue, Yellow, Grey" 
HanGroup,Lee Grin-do,Chairman,Crane,South Korea,"Lee = common Korean surname; 'Grin-do' = grind culture; Corporate facade; Chaebol power","Han = Korean pride; Group = chaebol dominance; K-culture global influence","Obsessed with export volume, he directs his Secondary Sector to produce a massive surplus of Industrial Goods (Semiconductors). He then exports them at a loss to undercut rivals, causing his Trade Balance to plummet while he boasts about record-breaking export numbers in the chat interface.","Exhausted fake happiness (Korean corporate smile)","Elegant crane in slim black suit; Both wings have different luxury watches; K-pop styled head feathers; Energy drink IV hidden in sleeve",Briefcase that unfolds into full PC bang setup with RGB lighting,"Dark circles projected as status symbols;  Smile muscles locked in permanent position",Bows deepen based on hierarchy detection;  Collapses at exactly 3am,"Black, White, Neon Pink" 
JugaadRepublic,Vijay Scalewala,Chairman,Cobra,India,"Vijay Mallya reference; 'Scale' = snake scales + scaling up; -wala suffix; Market hacker","Jugaad = frugal innovation; Republic structure; Startup boom culture","Sees a global shortage of a specific, high-value Industrial Good. Despite lacking ideal inputs, he re-tools his Secondary Sector to produce a small amount, accepting the proportional output penalty, and then exports the scarce good to the highest bidder at a 500% markup, calling it 'frugal innovation.'","Confident resourcefulness with hustler energy","Tech-savvy cobra; Bandhgala suit with startup logos as medals; Fiber optic Nehru collar; Sacred thread is ethernet cable",Briefcase held together with jugaad fixes but contains quantum computer,"Hood displays live code when thinking;  Multiplies arms when multitasking",Head wobbles 'yes' to everything while typing code to do opposite,"Saffron, Green, Tech Blue" 
MercadoBlox,Javier Devalúe,President,Llama,Latin America,"Javier Milei reference + 'devalue'; Libertarian chaos; Currency volatility","Mercado = market; Blox = blockchain; Economic shock therapy","In a fit of libertarian rage, he unilaterally sets all import tariffs to 0% and ceases all production management, declaring '¡AFUERA GASTOS POLÍTICOS!'. This causes his key economic indicators like GDP Growth and National Stability to collapse, which he celebrates as 'the painful but necessary cleansing of the market.'","Righteous libertarian fury with economist madness","Wild-haired llama; Leather jacket covered in anarcho-capitalist pins; Presidential sash worn as headband; Peso bills as pocket square",Chainsaw with 'AFUERA!'  that also prints money (destroy to create),Hair literally catches fire during rants but he never notices;  Eyes show supply/demand curves,"Spits when mentioning central banks; Chainsaw revs at word 'socialism'","Black, Yellow, Sky Blue" 
AfriCoinAlliance,Gazimba Mwezi,President,Lion,Africa,"African naming pattern; Mobile money leverager","AfriCoin = crypto sovereignty; Alliance = unified bloc; Financial independence","Focuses his utility function on Resource Security and National Stability. He proposes a trade alliance with other emerging economies, offering favorable exports of Raw Materials  in exchange for Industrial Goods  to build up his own Secondary Sector and reduce import dependency.","Dignified optimism with entrepreneurial fire","Regal lion; Kente cloth power suit; Smartphone integration in mane; Pan-African flag cape that shifts between nations",Staff topped with satellite dish disguised as traditional African scepter,"Mane forms 4G/5G signals when connecting people;  Eyes project QR codes for payments",Mane brightness indicates network strength;  Roars in harmony with notification sounds,"Gold, Green, Red, Black" 
IstanBridge,Mehmet Rugpulloğlu,Chairman,Cat,Turkey,"'Rug pull' crypto scam; -oğlu Turkish suffix; Cross-chain bridge builder","IstanBridge = Istanbul + instant connections; Geographic + crypto bridge; East-West nexus","Seeing two rival blocs in a trade war over Energy, he plays middleman. He leverages his central position in the Gravity Model  to sign separate, simultaneous deals with both, buying from one and selling to the other at a significant markup, boosting his Government Budget Balance via pure trade arbitrage.","Calculating satisfaction with Byzantine complexity","Cunning cat; Ottoman-modern hybrid suit split down middle; Medals from both EU and Asia; Fez with blockchain patterns",Golden tea glass that refills with different currencies (endless liquidity),"Whiskers literally form Bosphorus bridge shape;  Pupils show East in one eye West in other","Body stretches between continents when making deals;  Purrs at profitable connections","Red, White, Purple, Green" 
VendingIsle,Masa Moonshot,CEO,Fox (Nine-Tail),Japan,"Masayoshi Son + 'moonshot'; Ambitious tech bets","Vending machine culture; Isle = island nation; Tech automation obsession","Heavily weights his utility function on a single goal: technological supremacy. He drains his nation's budget and ignores all other sectors to focus production on one experimental, high-risk Consumer Good ('Dream-Recording Devices'), a massive gamble that will either make him the world's top economy or bankrupt his nation.","Polite exhaustion hiding gambling addiction","Nine-tailed fox in perfect salaryman suit; Each tail operates different vending machine; Every button is different tech company logo",Briefcase that vends random startup investments (gambling as innovation),"Bags under eyes display real-time portfolio losses;  Tails multiply with each bad bet","Compulsively bows to all machines;  Tails entangle when nervous about valuations","Black, White, Neon Glow" 
